feature1,feature2,feature3,feature4,feature5,feature6,target
7,11.51107857974152,0.28044510022140245,0.18986964653449767,0.05420190299564687,0.6641006705146959,38.79870686301935
11,17.297513259697105,0.922584486160315,0.7050762597921366,0.3310605962855474,0.1417815547135659,46.5547985915988
12,23.412925770891725,0.7389132135229133,0.9857215918901598,0.20158642343517208,0.10125774387112196,58.55210588683809
17,19.199209028024782,0.1430363350193673,0.41810860533690086,0.09658795118530561,0.5746842772640586,60.454264461563895
11,21.304057974492974,0.8580173388161033,0.43921792613500654,0.16814850251344526,0.547049660222449,44.55320153178735
10,18.126392045867934,0.5530403165885676,0.8555321132438306,0.7888285655300564,0.36110348984903584,45.305836285985976
12,15.493287496163282,0.023246088230062134,0.6147206989784768,0.4319076874128476,0.8723481725033079,51.45322561379609
12,0.9037585158376871,0.7545359824226815,0.35405140801450075,0.036622188254108456,0.709089770339825,48.08068903652906
6,23.002711588604555,0.5281565618145819,0.18107127043105542,0.8277681986115241,0.11628938451206161,40.664857881042515
12,25.678920049172213,0.6835739805042423,0.9639424411701032,0.35054777282377847,0.836544661189733,53.112128385949156
16,20.962080979996493,0.01505811547955671,0.5558635915440676,0.3490516654244872,0.24189626995732516,61.707819066856786
8,19.59355381941077,0.83693836660686,0.175018826925188,0.873021423321967,0.2786628393996343,44.460272340612995
15,22.659107649827174,0.2206615107628711,0.9014846159556859,0.3454054362213168,0.038349320707303125,56.82639458978103
10,20.92870482939692,0.6474269257554164,0.6464673013029534,0.6692488152003389,0.19927266784075925,51.17753626332972
12,11.962232816506662,0.9217811386662124,0.7992333313005874,0.6513293717015463,0.3388742251918333,49.73857026970277
8,21.57600162112884,0.4873153904788017,0.002069636693066923,0.20365862628197584,0.9779507953667717,44.442267499987246
7,26.426102026344374,0.11900957615571417,0.8819325837391826,0.1789445853695235,0.3031207557795431,42.94549055187201
4,12.59036219900855,0.1656973031537955,0.5197913531185925,0.06021295299572993,0.4985276852073627,36.1957527199431
12,22.70215135371641,0.006778602568979997,0.9114497036353384,0.5628622238402743,0.4814430040149813,51.07656018053754
16,19.04474581712627,0.41517608864081823,0.736126812991853,0.7458246139820712,0.3945452241447872,61.22406240771598
9,19.91991006663815,0.050350517257976124,0.789542428845207,0.37933908444341213,0.9916310693342817,46.81646869611779
6,19.851285464922206,0.762582281509404,0.4926904846706337,0.5369887471815837,0.8278935052356462,41.83500180952409
14,14.13342455921655,0.22357065161484535,0.7183759008639626,0.3908865155246718,0.8053721454565425,55.056560830510776
7,9.137457868565964,0.7880146742290254,0.06077117683320543,0.01950819753375921,0.07118224304317955,34.67602126553141
